step,straight_sortedCarList,straight_sortedCarList_hat,straight_queueLength,straight_queueLength_hat,straight_totalWaitingTime,straight_totalWaitingTime_hat,straight_avgSpeed,straight_avgSpeed_hat,straight_avgGapSpace,straight_avgGapSpace_hat,right_sortedCarList,right_sortedCarList_hat,right_queueLength,right_queueLength_hat,right_totalWaitingTime,right_totalWaitingTime_hat,right_avgSpeed,right_avgSpeed_hat,right_avgGapSpace,right_avgGapSpace_hat
52.0,8,0,24.580254820027065,0,63.0,0,25.445037153455576,0,45.286701194227476,0,3,0,2.0020000000000095,0,47.0,0,11.057203251812982,0,0.0,0
53.0,9,0,24.577287186681957,0,68.0,0,24.572731690888098,0,72.14369087146177,0,2,0,2.0020000000000095,0,49.0,0,0.0,0,0.0,0
54.0,9,0,24.551620034053116,0,73.0,0,25.145974351936523,0,61.15453291497437,0,2,0,2.0020000000000095,0,51.0,0,0.0,0,0.0,0
55.0,7,0,24.55084135309744,0,29.0,0,23.332442000794146,0,50.37199760233706,0,3,0,2.0020000000000095,0,53.0,0,6.225123402440826,0,48.08890034059425,0
56.0,7,0,16.017805518461344,0,5.0,0,21.527777687838437,0,42.05360955841664,0,3,0,2.0020000000000095,0,55.0,0,6.389676966773718,0,41.69922337382053,0
57.0,7,0,1.0010000000000048,0,1.0,0,21.40513156546847,0,35.49503551429533,0,3,0,2.0020000000000095,0,57.0,0,7.258889500353857,0,34.44033387346668,0
58.0,7,0,1.0010000000000048,0,2.0,0,20.056276210617124,0,31.054504843417195,0,3,0,2.0020000000000095,0,59.0,0,6.999355098767578,0,27.4409787746991,0
59.0,5,0,1.0010000000000048,0,3.0,0,21.824414710850757,0,14.370420083216175,0,3,0,2.0020000000000095,0,61.0,0,5.899355098767577,0,21.541623675931525,0
60.0,5,0,1.0010000000000048,0,4.0,0,19.78246172736055,0,11.811605022224548,0,3,0,2.0020000000000095,0,63.0,0,5.41330970485063,0,16.128313971080892,0
61.0,5,0,1.0010000000000048,0,5.0,0,19.270839053269555,0,10.834419736318473,0,3,0,2.0020000000000095,0,65.0,0,4.31330970485063,0,11.815004266230261,0
62.0,5,0,1.0010000000000048,0,6.0,0,20.84090861177848,0,40.358855702068034,0,3,0,2.0020000000000095,0,67.0,0,3.2133097048506296,0,8.601694561379631,0
63.0,4,0,1.0010000000000048,0,7.0,0,10.512772303070125,0,35.449155420974215,0,3,0,2.0020000000000095,0,69.0,0,2.1133097048506295,0,6.488384856529002,0
64.0,4,0,2.0020000000000095,0,9.0,0,9.829481352190733,0,32.016413611389936,0,3,0,2.0020000000000095,0,71.0,0,1.0133097048506294,0,5.475075151678375,0
65.0,3,0,2.0020000000000095,0,11.0,0,14.578428659140464,0,0.0,0,3,0,2.0020000000000095,0,73.0,0,0.3508649747709385,0,5.1242101769074395,0
66.0,3,0,2.0020000000000095,0,13.0,0,14.555688249314535,0,0.0,0,3,0,2.0020000000000095,0,75.0,0,1.1618017634464586,0,3.9624084134609774,0
67.0,3,0,2.0020000000000095,0,15.0,0,12.834675418584027,0,0.0,0,3,0,2.0020000000000095,0,77.0,0,0.1546029858733597,0,3.807805427587617,0
68.0,3,0,2.0020000000000095,0,17.0,0,11.370467101517887,0,0.0,0,3,0,9.560859034708827,0,80.0,0,0.02837591023320779,0,3.7794295173544086,0
69.0,3,0,2.0020000000000095,0,19.0,0,12.926506668819322,0,0.0,0,3,0,9.516719195111818,0,83.0,0,0.022069919798503757,0,3.7573595975559044,0
70.0,3,0,2.0020000000000095,0,21.0,0,11.073918006397037,0,0.0,0,3,0,9.509446663929126,0,86.0,0,0.0036362655913439817,0,3.753723331964558,0
71.0,3,0,2.0020000000000095,0,23.0,0,12.078376412755063,0,0.0,0,3,0,9.50613361386253,0,89.0,0,0.0016565250332967552,0,3.7520668069312606,0
72.0,3,0,2.0020000000000095,0,25.0,0,11.073918006397037,0,0.0,0,3,0,9.50475274879524,0,92.0,0,0.0006904325336420151,0,3.7513763743976156,0
73.0,3,0,2.0020000000000095,0,27.0,0,12.157281049424967,0,0.0,0,3,0,9.504151612175221,0,95.0,0,0.00030056831000945677,0,3.7510758060876057,0
74.0,3,0,2.0020000000000095,0,29.0,0,9.957281049424967,0,0.0,0,3,0,9.503454222770387,0,98.0,0,0.00034869470241439193,0,3.7507271113851886,0
75.0,3,0,2.0020000000000095,0,31.0,0,12.151835941840147,0,0.0,0,4,0,9.503292381074814,0,101.0,0,11.522367744448824,0,3.7506461905374024,0
76.0,3,0,2.0020000000000095,0,33.0,0,10.902736393516136,0,0.0,0,5,0,9.503159747118929,0,104.0,0,23.167689747691778,0,3.7505798735594595,0
77.0,4,0,2.0020000000000095,0,35.0,0,16.943337151486766,0,47.83800254125661,0,5,0,9.503159747118929,0,107.0,0,22.27302901685686,0,3.7505798735594595,0
78.0,5,0,2.0020000000000095,0,37.0,0,27.066749070631115,0,41.762494053164346,0,5,0,9.503159747118929,0,110.0,0,21.89182178058178,0,3.7505798735594595,0
79.0,5,0,2.0020000000000095,0,39.0,0,29.4860975368179,0,36.754361050275314,0,5,0,9.503159747118929,0,113.0,0,22.50667145179101,0,3.7505798735594595,0
80.0,4,0,2.0020000000000095,0,41.0,0,16.528568050367348,0,31.285372523563453,0,5,0,9.503159747118929,0,116.0,0,23.586519965193986,0,3.7505798735594595,0
81.0,4,0,2.0020000000000095,0,43.0,0,15.61931878764607,0,26.499334505515954,0,5,0,9.503019068342908,0,119.0,0,21.955309222645674,0,3.7505095341714494,0
82.0,4,0,2.0020000000000095,0,45.0,0,15.967116907760092,0,21.751843937679354,0,5,0,9.503019068342908,0,122.0,0,22.282807155805465,0,3.7505095341714494,0
83.0,4,0,2.0020000000000095,0,47.0,0,16.45448397923611,0,16.252356086151032,0,5,0,9.503019068342908,0,125.0,0,18.640186266521745,0,3.7505095341714494,0
84.0,4,0,2.0020000000000095,0,49.0,0,17.660126832028624,0,11.852868234622711,0,5,0,9.503019068342908,0,128.0,0,15.621781518257206,0,3.7505095341714494,0
85.0,4,0,2.0020000000000095,0,51.0,0,14.360126832028623,0,8.553380383094392,0,5,0,9.503019068342908,0,131.0,0,10.421781518257202,0,3.7505095341714494,0
86.0,4,0,2.0020000000000095,0,53.0,0,12.674515458539833,0,6.353892531566068,0,5,0,10.504019068342913,0,135.0,0,5.029849116773407,0,3.7505095341714494,0
87.0,6,0,2.0020000000000095,0,55.0,0,32.70405040845496,0,51.962060233083385,0,5,0,10.504019068342913,0,139.0,0,2.0298491167734105,0,3.7505095341714494,0
88.0,6,0,2.0020000000000095,0,57.0,0,30.861490393375043,0,45.79069264299542,0,5,0,11.505019068342918,0,144.0,0,0.0,0,3.7505095341714494,0
89.0,6,0,2.0020000000000095,0,59.0,0,33.81924840672171,0,39.81860623001704,0,7,0,11.505019068342918,0,149.0,0,10.999701165246144,0,94.19540882469988,0
90.0,6,0,2.0020000000000095,0,61.0,0,32.08038977920392,0,34.52106543296328,0,7,0,11.505019068342918,0,154.0,0,11.040241501852531,0,80.84854800907615,0
91.0,6,0,9.55901632506469,0,64.0,0,33.76404438229811,0,27.94524682977523,0,7,0,11.505019068342918,0,159.0,0,10.776037250562801,0,67.95483961569488,0
92.0,6,0,9.531288336582307,0,67.0,0,32.55594818016734,0,22.395695421026232,0,7,0,11.505019068342918,0,164.0,0,9.278165959499699,0,56.87403929315243,0
93.0,6,0,9.530169081627278,0,70.0,0,30.2080130541803,0,17.959448379040914,0,7,0,11.505019068342918,0,169.0,0,9.223779777455686,0,46.16699298109099,0
94.0,6,0,9.50956638303812,0,73.0,0,28.778715111980333,0,14.613459615238533,0,7,0,11.505019068342918,0,174.0,0,7.841131398965372,0,37.166393753026945,0
95.0,4,0,9.504703175449038,0,76.0,0,2.773651611122009,0,11.839808004116527,0,7,0,11.505019068342918,0,179.0,0,7.247681965282776,0,29.083541387950532,0
96.0,4,0,9.503403369583225,0,79.0,0,1.6718699102603705,0,10.16793809385615,0,7,0,11.505019068342918,0,184.0,0,6.50019431551108,0,22.023372763332226,0
